url,tld,is_phishing,url_length,num_dashes,num_digits,num_special_chars,path_segments,num_dots,num_underscores,num_dashes_in_hostname,double_slash_in_path,hostname_length,path_length,query_length,registration_time,creation_date,expiration_date,site_age_years,time_to_expire_years,registrar,country_registered,is_registered_in_ar
http://minianima.com.ar,com.ar,False,23,0,0,0,0,2,0,0,False,16,0,0,,,,,,,Desconocido,False
http://mins.com.ar,com.ar,False,18,0,0,0,0,2,0,0,False,11,0,0,,,,,,,Desconocido,False
http://minsegtuc.gov.ar,gov.ar,False,23,0,0,0,0,2,0,0,False,16,0,0,,,,,,,Desconocido,False
http://miportalclinicas.com.ar,com.ar,False,30,0,0,0,0,2,0,0,False,23,0,0,,,,,,,Desconocido,False
http://mirtaarmesto.com.ar,com.ar,False,26,0,0,0,0,2,0,0,False,19,0,0,,,,,,,Desconocido,False
http://mistral.com.ar,com.ar,False,21,0,0,0,0,2,0,0,False,14,0,0,,,,,,,Desconocido,False
http://misturnosmovil.com.ar,com.ar,False,28,0,0,0,0,2,0,0,False,21,0,0,,,,,,,Desconocido,False
http://modapoint.com.ar,com.ar,False,23,0,0,0,0,2,0,0,False,16,0,0,,,,,,,Desconocido,False
http://modelo-lomas.edu.ar,edu.ar,False,26,1,0,0,0,2,0,1,False,19,0,0,,,,,,,Desconocido,False
http://mohammadyasociados.ar,ar,False,28,0,0,0,0,1,0,0,False,21,0,0,,,,,,,Desconocido,False
http://mondial.com.ar,com.ar,False,21,0,0,0,0,2,0,0,False,14,0,0,12.83,2013-10-23T00:00:00,2026-08-20T00:00:00,11.76,1.07,nicar,Desconocido,False
http://moniquearnold.com.ar,com.ar,False,27,0,0,0,0,2,0,0,False,20,0,0,12.41,2013-09-05T00:00:00,2026-01-28T00:00:00,11.89,0.51,nicar,Desconocido,False
http://montella.com.ar,com.ar,False,22,0,0,0,0,2,0,0,False,15,0,0,10.01,2016-01-12T00:00:00,2026-01-12T00:00:00,9.54,0.47,nicar,Desconocido,False
http://monterizos.com.ar,com.ar,False,24,0,0,0,0,2,0,0,False,17,0,0,11.45,2014-03-18T00:00:00,2025-08-27T00:00:00,11.36,0.09,nicar,Desconocido,False
http://morashop.ar,ar,False,18,0,0,0,0,1,0,0,False,11,0,0,5.0,2020-10-22T12:40:37.645931,2025-10-22T00:00:00,4.76,0.24,nicar,Desconocido,False
http://motomel.com.ar,com.ar,False,21,0,0,0,0,2,0,0,False,14,0,0,8.73,2017-01-28T10:00:32.197574,2025-10-20T00:00:00,8.49,0.24,nicar,Desconocido,False
http://motoroma.com.ar,com.ar,False,22,0,0,0,0,2,0,0,False,15,0,0,12.08,2014-01-04T00:00:00,2026-01-31T00:00:00,11.56,0.52,nicar,Desconocido,False
http://motozuni.com.ar,com.ar,False,22,0,0,0,0,2,0,0,False,15,0,0,12.31,2013-11-07T00:00:00,2026-02-25T00:00:00,11.72,0.59,nicar,Desconocido,False
http://mpfsalta.gob.ar,gob.ar,False,22,0,0,0,0,2,0,0,False,15,0,0,12.15,2014-02-18T00:00:00,2026-04-10T00:00:00,11.44,0.71,nicar,Desconocido,False
http://mpftucuman.gob.ar,gob.ar,False,24,0,0,0,0,2,0,0,False,17,0,0,12.61,2013-09-10T00:00:00,2026-04-19T00:00:00,11.88,0.73,nicar,Desconocido,False
http://msaludjujuy.gov.ar,gov.ar,False,25,0,0,0,0,2,0,0,False,18,0,0,12.26,2013-10-09T00:00:00,2026-01-08T00:00:00,11.8,0.46,nicar,Desconocido,False
http://muchaspropiedades.com.ar,com.ar,False,31,0,0,0,0,2,0,0,False,24,0,0,10.84,2015-02-06T00:00:00,2025-12-06T00:00:00,10.47,0.37,nicar,Desconocido,False
http://mundoascenso.com.ar,com.ar,False,26,0,0,0,0,2,0,0,False,19,0,0,11.58,2014-01-04T00:00:00,2025-07-31T00:00:00,11.56,0.02,nicar,Desconocido,False
http://mundopsicologos.com.ar,com.ar,False,29,0,0,0,0,2,0,0,False,22,0,0,12.74,2013-08-20T00:00:00,2026-05-13T00:00:00,11.93,0.8,nicar,Desconocido,False
http://nakiki.com.ar,com.ar,False,20,0,0,0,0,2,0,0,False,13,0,0,4.0,2021-08-04T18:40:35.732893,2025-08-04T00:00:00,3.97,0.03,nicar,Desconocido,False
http://naremoda.com.ar,com.ar,False,22,0,0,0,0,2,0,0,False,15,0,0,3.02,2023-07-10T13:49:01.960366,2026-07-17T00:00:00,2.04,0.98,nicar,Desconocido,False
http://narrowjeans.com.ar,com.ar,False,25,0,0,0,0,2,0,0,False,18,0,0,11.38,2014-08-26T00:00:00,2026-01-08T00:00:00,10.92,0.46,nicar,Desconocido,False
http://natividad.org.ar,org.ar,False,23,0,0,0,0,2,0,0,False,16,0,0,12.03,2014-03-12T00:00:00,2026-03-21T00:00:00,11.38,0.65,nicar,Desconocido,False
http://natural-life.com.ar,com.ar,False,26,1,0,0,0,2,0,1,False,19,0,0,12.67,2013-11-20T00:00:00,2026-07-18T00:00:00,11.68,0.98,nicar,Desconocido,False
http://naturgyban.com.ar,com.ar,False,24,0,0,0,0,2,0,0,False,17,0,0,12.26,2014-04-25T00:00:00,2026-07-27T00:00:00,11.25,1.01,nicar,Desconocido,False
http://naturgysj.com.ar,com.ar,False,23,0,0,0,0,2,0,0,False,16,0,0,9.85,2016-06-22T00:00:00,2026-04-26T00:00:00,9.09,0.75,nicar,Desconocido,False
http://necy.com.ar,com.ar,False,18,0,0,0,0,2,0,0,False,11,0,0,2.03,2023-12-12T03:35:36.727495,2025-12-24T00:00:00,1.62,0.42,nicar,Desconocido,False
http://netegia.com.ar,com.ar,False,21,0,0,0,0,2,0,0,False,14,0,0,12.38,2013-08-31T00:00:00,2026-01-15T00:00:00,11.9,0.48,nicar,Desconocido,False
